url,text,id
https://registry.verra.org/app/projectDetail/VCS/5408,"Tongyi CMM Power Generation Project (hereinafter referred to as the Project) will utilize the low concentration coal mine methane (CMM) from Tongyi coal mine which is a working coal mine for power generation and supply electricity to the coal mine where the Project is located for internal consumption. And the waste heat from the generators will be recovered by waste heat boilers to provide free hot water to the coal mine.The Project is located in Tongyi coal mine, Songjiazhuang Village, Guanshan Town, Pingding County, Yangquan City, Shanxi Province, P.R.China. The Project Owner is Pingding County Yonder Coal Mine Methane Utilization Co., Ltd. Prior to the implementation of the project, Tongyi coal mine was equipped with CMM extraction facilities and all extracted CMM was vented into the atmosphere directly. The electricity consumed at coal mines was imported from North China Power Grid (NCPG). The heat was provided by waste coal boilers. Baseline scenario is the same as the scenario existing prior to the implementation of the project activity. The Project aims to utilize the extracted CMM with low concentration methane concentration to produce electricity. No coal bed methane (CBM) or ventilation air methane (VAM) utilization is involved. The emissions reduction of the Project comes from two sources: 1) Methane (CH4) emissions as a result of the previously vented gas that will be captured and destroyed in the project scenario; 2) CO2 emissions from the production of the equivalent amount of electricity replaced by the Project that would otherwise have been purchased from the NCPG. It is estimated that in the 10 years crediting period of the project (from 14- September-2024 to13-September-2034), the expected average annual GHG emission reduction will be 172,394 tCO2e and the total emission reductions will be 1,723,940 tCO2e in the 10-year of crediting period.",5408
https://registry.verra.org/app/projectDetail/VCS/5410,"Zhangcun CMM Power Generation Project (hereinafter referred to as the Project) will utilize the low concentration coal mine methane (CMM) from Zhangcun coal mine which is a working coal mine for power generation and supply electricity to the coal mine where the Project is located for internal consumption. And the waste heat from the generators will be recovered by waste heat boilers to provide free hot water to the coal mine.The Project is located in Zhangcun coal mine, Yongzi Village, Houbao Town, Xiangyuan County, Changzhi City, Shanxi Province, P.R.China. The Project Owner is Xiangyuan County Yonder Coal Mine Methane Utilization Co., Ltd. Prior to the implementation of the project, Zhangcun coal mine was equipped with CMM extraction facilities and all extracted CMM was vented into the atmosphere directly. The electricity consumed at coal mines was imported from North China Power Grid (NCPG). The heat was provided by waste coal boilers. Baseline scenario is the same as the scenario existing prior to the implementation of the project activity. The Project aims to utilize the extracted CMM with low concentration methane concentration to produce electricity. No coal bed methane (CBM) or ventilation air methane (VAM) utilization is involved. The designed annual methane annually extracted by the coal mine is 15.185million Nm3 . The project design capacity is 4.8MW with 8 sets of 0.6MW CMM power generators, destroying 7.68 million Nm3 of methane annually. It is estimated that in the 10 years crediting period of the project (from 20-April- 2024 to 19-April-2034), the expected average annual GHG emission reduction will be 142,671 tCO2e and the total emission reductions will be 1,426,710 tCO2e in the 10-year of crediting period.",5410
https://registry.verra.org/app/projectDetail/VCS/5411,"Wulihou CMM Power Generation Project (hereinafter referred to as the Project) will utilize the low concentration coal mine methane (CMM) from Wulihou coal mine which is a working coal mine for power generation and supply electricity to the coal mine where the Project is located for internal consumption. And the waste heat from the generators will be recovered by waste heat boilers to provide free hot water to the coal mine.The Project is located in Wulihou coal mine, Wulihou village, Liaoyang Town, Zuoquan County, Jinzhong City, Shanxi Province, P.R.China. The Project Owner is Zuoquan County Yonder Coal Mine Methane Utilization Co., Ltd. Prior to the implementation of the project, Wulihou coal mine was equipped with CMM extraction facilities and all extracted CMM was vented into the atmosphere directly. The electricity consumed at coal mines was imported from North China Power Grid (NCPG). The heat was provided by waste coal boilers. Baseline scenario is the same as the scenario existing prior to the implementation of the project activity. The Project aims to utilize the extracted CMM with low concentration methane concentration to produce electricity. No coal bed methane (CBM) or ventilation air methane (VAM) utilization is involved.The designed annual methane annually extracted by the coal mine is 36.177million Nm3 . The project design capacity is 3.4MW with 4 sets of 0.6MW CMM power generators and 2 sets of 0.5MW CMM power generators, destroying 5.44 million Nm3 of methane annually.The remaining unused share of the methane is vented for safety reasons. After the full operation of the Project, the gross power generation is 16,320MWh.It is estimated that in the 10 years crediting period of the project (from 25- September-2024 to 24-September-2034), the expected average annual GHG emission reduction will be 101,057 tCO2e and the total emission reductions will be 1,010,570 tCO2e in the 10-year of crediting period.",5411
https://registry.verra.org/app/projectDetail/VCS/5373,"The project focuses on providing off-grid solar energy solutions to underserved communities, particularly in rural areas, by installing Solar Home Systems (SHS). These systems will enable households to access clean, renewable energy, which will help improve their living conditions and reduce reliance on traditional fossil fuels. In addition, the project will provide reliable lighting for students, thus enhancing their ability to study and access education. The project reduces the time spent on collecting firewood and other fuel sources, particularly for women and girls, and thus the project promotes gender equality. The initiative will also generate jobs in the solar installation and maintenance sector, contributing to economic growth and employment opportunities.",5373
https://registry.verra.org/app/projectDetail/VCS/5340,"Yangmei Xin Da Di 16MW CMM Power Generation Project (hereinafter referred to as the 'Project') is located at Hougou Village, Yixing Town, Heshun County, Jin Zhong City, Shanxi Province, China, the north of Yangmei Xin Da Di Coal Industry. . The central geographic coordinates of the project site are37°21'17N 113°34'53E.The Project utilizes coal mine methane (CMM) with a mix concentration of 10% from Xin Da Di Coal Mine for power generatation to supply electricity to North China Power Grid (NCPG). The Project Owner is Heshun County Yanyan Power Generation Co., Ltd.",5340
https://registry.verra.org/app/projectDetail/VCS/5337,"The Project is a single dispatchable facility comprising of solar photo-voltaic technology linked to a battery energy storage system (BESS). The Project is located 5km South East of De Aar in the Northern Cape and roughly 8km North of the Eskom Main Transmission Substation, Hydra. The Project will have a Contracted Capacity of 75 MW (AC) at the Delivery Point. The solar portion is split over 3 x authorized footprints located adjacent to one another and forming a combined total installed capacity of an approximately 216 MW peak (DC). The BESS is to have a combined energy capacity of 450 MWh, 105 MW charging capacity and 75 MW discharging capacity at the Delivery Point.",5337
https://registry.verra.org/app/projectDetail/VCS/5313,"Lichuan City Domestic Waste Landfill Site Biogas Pollution Treatment and Comprehensive Utilization Project (hereafter referred to as the project) is located in No.1 Group, Yangliu Community, Dongcheng Street Office, Lichuan City, Enshi Tujia and Miao Autonomous Prefecture, Hubei Province, P. R. China. The project is invested, constructed and operated by Lichuan City BCCY New Energy Co., Ltd. The objective is to collect the landfill gas (LFG) from Lichuan city domestic waste landfill site (hereafter referred to as Lichuan landfill site) and utilize it to generate electricity.",5313
https://registry.verra.org/app/projectDetail/VCS/5312,"The Oya Hybrid Project combines 155 MW of solar PV power, 86 MW of wind power, and a 128 MW battery energy storage, all within a single location. This greenfield development spans the Western and Northern Cape Provinces, between the towns of Ceres and Sutherland in South Africa.",5312
https://registry.verra.org/app/projectDetail/VCS/5277,"Taishan BCCY New Energy Co., Ltd Taishan Xiadoukeng 5MW Biogas Power Generation Project (hereafter referred to as the project) is located is located in Taishan City environmental sanitation management and domestic waste treatment Center, Taicheng Street, Taishan City, Jiangmen City, Guangdong Province, P. R. China. The project is invested, constructed and operated by Taishan BCCY New Energy Co., Ltd. The objective is to collect the landfill gas (LFG) from Taishan city Xiadoukeng domestic waste sanitary landfill site (hereafter referred to as Taishan landfill site) and utilize it to generate electricity.",5277
https://registry.verra.org/app/projectDetail/VCS/5279,"The QK solar grouped project encompasses the installation and operation of small scale solar photovoltaic (PV) facilities in South Africa, which are commissioned for the purpose of generating renewable electricity for onsite use (embedded generation), with or without battery energy storage systems. The grouped project is managed by the QK Group SA (Pty) Ltd. The group project utilises a small-scale methodology, AMS-I.F “Renewable electricity generation for captive use and mini-grid”, version 05.0. The grouped project will comprise various project activity instances, each involving one or more solar PV installations. As prescribed by AMS-I.F, the total aggregated installed capacity of each project activity instance will be capped at 15 MW or less.",5279
